lat;lon;U;V
54.35;19.19;-7.89;0.26
54.36;19.19;-7.83;0.75
54.37;19.19;-7.6;1.14
54.38;19.19;-7.31;1.42
54.39;19.19;-7.02;1.63
54.4;19.19;-6.76;1.78
54.41;19.19;-6.52;1.89
54.42;19.19;-6.32;1.98
54.43;19.19;-6.13;2.03
54.43;19.19;-5.97;2.08
54.44;19.19;-5.82;2.11
54.45;19.19;-5.68;2.13
54.46;19.19;-5.56;2.14
54.47;19.19;-5.46;2.14
54.48;19.19;-5.38;2.14
54.49;19.19;-5.32;2.14
54.5;19.19;-5.27;2.14
54.51;19.19;-5.23;2.13
54.52;19.19;-5.2;2.13
54.52;19.19;-5.16;2.12
54.53;19.19;-5.14;2.11
54.54;19.19;-5.12;2.1
54.55;19.19;-5.1;2.09
54.56;19.19;-5.08;2.09
54.57;19.19;-5.06;2.08
54.58;19.19;-5.03;2.07
54.59;19.19;-5;2.07
54.6;19.19;-4.98;2.06
54.61;19.19;-4.96;2.06
54.61;19.19;-4.93;2.06
54.62;19.19;-4.91;2.05
54.63;19.19;-4.88;2.05
54.64;19.19;-4.86;2.05
54.65;19.19;-4.83;2.05
54.66;19.19;-4.8;2.04
54.67;19.19;-4.77;2.04
54.68;19.19;-4.74;2.04
54.69;19.19;-4.72;2.04
54.7;19.19;-4.69;2.04
54.7;19.19;-4.67;2.04
54.71;19.19;-4.65;2.04
54.72;19.19;-4.62;2.04
54.73;19.19;-4.6;2.04
54.74;19.19;-4.58;2.04
54.75;19.19;-4.57;2.04
54.76;19.19;-4.56;2.04
54.77;19.19;-4.56;2.04
54.78;19.19;-4.55;2.04
54.79;19.19;-4.54;2.04
54.79;19.19;-4.53;2.03
54.8;19.19;-4.52;2.03
54.81;19.19;-4.52;2.03
54.82;19.19;-4.51;2.02
54.83;19.19;-4.5;2.02
54.84;19.19;-4.5;2.02
54.85;19.19;-4.5;2.01
54.86;19.19;-4.5;2.01
54.87;19.19;-4.5;2.01
54.88;19.19;-4.5;2
54.88;19.19;-4.51;2
54.89;19.19;-4.51;2
54.9;19.19;-4.51;2
54.91;19.19;-4.51;2
54.92;19.19;-4.51;2
54.93;19.19;-4.51;2.01
54.94;19.19;-4.51;2.01
54.95;19.19;-4.52;2.01
54.96;19.19;-4.52;2.01
54.97;19.19;-4.52;2.02
54.97;19.19;-4.52;2.02
54.98;19.19;-4.53;2.02
54.99;19.19;-4.55;2.03
55;19.19;-4.57;2.03
55.01;19.19;-4.59;2.03
55.02;19.19;-4.61;2.02
55.03;19.19;-4.63;2.02
55.04;19.19;-4.64;2.01
55.05;19.19;-4.63;2.01
55.06;19.19;-4.63;2
55.06;19.19;-4.62;2
55.07;19.19;-4.62;2
55.08;19.19;-4.62;2
55.09;19.19;-4.62;2.01
55.1;19.19;-4.62;2.01
55.11;19.19;-4.63;2.01
55.12;19.19;-4.63;2.01
55.13;19.19;-4.64;2.01
55.14;19.19;-4.65;2.01
55.15;19.19;-4.66;2.01
55.15;19.19;-4.67;2.01
55.16;19.19;-4.69;2.01
55.17;19.19;-4.71;2.01
55.18;19.19;-4.72;2.01
55.19;19.19;-4.73;2.01
55.2;19.19;-4.75;2.01
55.21;19.19;-4.76;2.01
55.22;19.19;-4.77;2.01
55.23;19.19;-4.78;2.01
55.24;19.19;-4.79;2.01
55.24;19.19;-4.8;2.01
55.25;19.19;-4.81;2.01
55.26;19.19;-4.82;2.01
55.27;19.19;-4.83;2.01
55.28;19.19;-4.84;2.01
55.29;19.19;-4.86;2
55.3;19.19;-4.87;2
55.31;19.19;-4.89;2
55.32;19.19;-4.91;1.99
55.33;19.19;-4.94;1.99
55.33;19.19;-4.96;1.98
55.34;19.19;-4.98;1.98
55.35;19.19;-5.01;1.97
55.36;19.19;-5.03;1.95
55.37;19.19;-5.06;1.93
55.38;19.19;-5.09;1.91
55.39;19.19;-5.11;1.88
55.4;19.19;-5.14;1.84
55.41;19.19;-5.16;1.78
55.42;19.19;-5.18;1.72
55.42;19.19;-5.18;1.63
55.43;19.19;-5.17;1.51
55.44;19.19;-5.09;1.36
55.45;19.19;-4.89;1.13
55.46;19.19;-4.41;0.81
54.35;19.21;-7.48;0.26
54.36;19.21;-8.22;0.81
54.37;19.21;-8.14;1.29
54.38;19.21;-7.9;1.62
54.39;19.21;-7.63;1.86
54.4;19.21;-7.37;2.04
54.41;19.21;-7.14;2.19
54.42;19.21;-6.93;2.29
54.43;19.21;-6.74;2.38
54.43;19.21;-6.57;2.44
54.44;19.21;-6.41;2.48
54.45;19.21;-6.27;2.52
54.46;19.21;-6.15;2.54
54.47;19.21;-6.05;2.55
54.48;19.21;-5.96;2.56
54.49;19.21;-5.9;2.56
54.5;19.21;-5.84;2.56
54.51;19.21;-5.8;2.56
54.52;19.21;-5.76;2.55
54.52;19.21;-5.73;2.54
54.53;19.21;-5.7;2.53
54.54;19.21;-5.68;2.52
54.55;19.21;-5.66;2.51
54.56;19.21;-5.64;2.5
54.57;19.21;-5.62;2.49
54.58;19.21;-5.59;2.49
54.59;19.21;-5.57;2.48
54.6;19.21;-5.54;2.48
54.61;19.21;-5.52;2.48
54.61;19.21;-5.5;2.47
54.62;19.21;-5.47;2.47
54.63;19.21;-5.45;2.47
54.64;19.21;-5.42;2.46
54.65;19.21;-5.4;2.46
54.66;19.21;-5.37;2.46
54.67;19.21;-5.34;2.46
54.68;19.21;-5.31;2.46
54.69;19.21;-5.28;2.46
54.7;19.21;-5.26;2.46
54.7;19.21;-5.23;2.46
54.71;19.21;-5.21;2.46
54.72;19.21;-5.18;2.46
54.73;19.21;-5.16;2.46
54.74;19.21;-5.14;2.46
54.75;19.21;-5.12;2.46
54.76;19.21;-5.11;2.46
54.77;19.21;-5.1;2.46
54.78;19.21;-5.09;2.46
54.79;19.21;-5.08;2.46
54.79;19.21;-5.07;2.45
54.8;19.21;-5.07;2.45
54.81;19.21;-5.06;2.45
54.82;19.21;-5.05;2.44
54.83;19.21;-5.05;2.44
54.84;19.21;-5.05;2.44
54.85;19.21;-5.05;2.43
54.86;19.21;-5.05;2.43
54.87;19.21;-5.05;2.43
54.88;19.21;-5.06;2.42
54.88;19.21;-5.06;2.42
54.89;19.21;-5.06;2.42
54.9;19.21;-5.07;2.42
54.91;19.21;-5.07;2.42
54.92;19.21;-5.07;2.42
54.93;19.21;-5.07;2.43
54.94;19.21;-5.07;2.43
54.95;19.21;-5.08;2.43
54.96;19.21;-5.08;2.43
54.97;19.21;-5.08;2.44
54.97;19.21;-5.08;2.44
54.98;19.21;-5.09;2.44
54.99;19.21;-5.1;2.45
55;19.21;-5.11;2.45
55.01;19.21;-5.13;2.45
55.02;19.21;-5.15;2.44
55.03;19.21;-5.17;2.44
55.04;19.21;-5.18;2.43
55.05;19.21;-5.18;2.43
55.06;19.21;-5.19;2.42
55.06;19.21;-5.18;2.42
55.07;19.21;-5.18;2.42
55.08;19.21;-5.18;2.42
55.09;19.21;-5.18;2.43
55.1;19.21;-5.18;2.43
55.11;19.21;-5.19;2.43
55.12;19.21;-5.19;2.43
55.13;19.21;-5.2;2.43
55.14;19.21;-5.21;2.43
55.15;19.21;-5.22;2.44
55.15;19.21;-5.23;2.44
55.16;19.21;-5.25;2.44
55.17;19.21;-5.26;2.44
55.18;19.21;-5.28;2.44
55.19;19.21;-5.29;2.43
55.2;19.21;-5.3;2.43
55.21;19.21;-5.31;2.43
55.22;19.21;-5.32;2.43
55.23;19.21;-5.34;2.43
55.24;19.21;-5.34;2.43
55.24;19.21;-5.35;2.43
55.25;19.21;-5.36;2.43
55.26;19.21;-5.38;2.43
55.27;19.21;-5.39;2.43
55.28;19.21;-5.4;2.42
55.29;19.21;-5.42;2.42
55.3;19.21;-5.44;2.42
55.31;19.21;-5.46;2.42
55.32;19.21;-5.48;2.41
55.33;19.21;-5.5;2.41
55.33;19.21;-5.52;2.4
55.34;19.21;-5.55;2.39
55.35;19.21;-5.58;2.38
55.36;19.21;-5.61;2.36
55.37;19.21;-5.64;2.34
55.38;19.21;-5.68;2.31
55.39;19.21;-5.72;2.27
55.4;19.21;-5.76;2.22
55.41;19.21;-5.79;2.15
55.42;19.21;-5.82;2.06
55.42;19.21;-5.84;1.94
55.43;19.21;-5.82;1.79
55.44;19.21;-5.73;1.58
55.45;19.21;-5.49;1.29
55.46;19.21;-4.92;0.89
54.35;19.23;-3.5;0.52
54.36;19.23;-8.57;1.18
54.37;19.23;-8.45;1.46
54.38;19.23;-8.23;1.75
54.39;19.23;-7.98;2
54.4;19.23;-7.73;2.21
54.41;19.23;-7.49;2.38
54.42;19.23;-7.28;2.52
54.43;19.23;-7.09;2.62
54.43;19.23;-6.91;2.7
54.44;19.23;-6.74;2.76
54.45;19.23;-6.6;2.8
54.46;19.23;-6.47;2.83
54.47;19.23;-6.36;2.86
54.48;19.23;-6.28;2.87
54.49;19.23;-6.21;2.88
54.5;19.23;-6.15;2.88
54.51;19.23;-6.1;2.87
54.52;19.23;-6.06;2.87
54.52;19.23;-6.03;2.86
54.53;19.23;-6;2.85
54.54;19.23;-5.98;2.84
54.55;19.23;-5.96;2.83
54.56;19.23;-5.94;2.82
54.57;19.23;-5.91;2.81
54.58;19.23;-5.89;2.8
54.59;19.23;-5.87;2.8
54.6;19.23;-5.85;2.79
54.61;19.23;-5.82;2.79
54.61;19.23;-5.8;2.79
